,borough,block,lot,cd,bct2020,bctcb2020,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healthcenterdistrict,healtharea,sanitboro,sanitdistrict,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,firm07_flag,pfirm15_flag,version,dcpedited,latitude,longitude,notes
553541,MN,405,30,103.0,1003400.0,10034002000.0,34.0,2000.0,1.0,2.0,10009.0,L011,9.0,14.0,6200.0,1.0,3.0,4A,194 AVENUE B,R7A,,,,C1-5,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,1261.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,19.25,65.5,0.0,0.0,,0.0,N,3.0,5.0,416250.0,416250.0,416250.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1004050030.0,,34.0,989998.0,204544.0,12c,,102 029,10203.0,,,,1,,,22v3,t,40.7281008,-73.9792614,
553543,MN,406,17,103.0,1003400.0,10034001001.0,34.0,1001.0,1.0,2.0,10009.0,L011,9.0,14.0,6200.0,1.0,3.0,4A,522 EAST 13 STREET,R8B,,,,,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,2581.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,25.0,103.25,0.0,0.0,,0.0,N,5.0,5.0,655650.0,655650.0,655650.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1004060017.0,,34.0,989821.0,204897.0,12c,,102 029,10203.0,,,,1,,,22v3,t,40.7290698,-73.9798997,
553550,MN,380,50,103.0,1002800.0,10028004005.0,28.0,4005.0,1.0,2.0,10009.0,L011,9.0,14.0,6300.0,1.0,3.0,4A,149 EAST 10 STREET,PARK,,,,,,,,,,N,Q2,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,64447.0,5230.0,5230.0,0.0,0.0,0.0,0.0,0.0,0.0,5230.0,2.0,1.0,1.0,0.0,0.0,269.0,239.58,165.0,32.0,N,0.0,N,3.0,0.0,2938500.0,3605400.0,3605400.0,1970.0,0.0,0.0,,,0.08,0.0,0.0,0.0,1,1003800050.0,,28.0,991053.0,203582.0,12c,,102 023,10202.0,,,,1,1.0,1.0,22v3,t,40.7254596,-73.9754559,
553555,MN,379,61,103.0,1002800.0,10028004004.0,28.0,4004.0,1.0,2.0,10009.0,L011,9.0,14.0,6300.0,1.0,3.0,4A,EAST 9 STREET,R8B,R7A,,,C1-5,,,,,,Y,Q1,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,3782.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,41.0,92.25,0.0,0.0,,0.0,N,5.0,5.0,512550.0,512550.0,512550.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1003790061.0,,28.0,990515.0,203514.0,12c,,102 023,10202.0,,,,1,1.0,1.0,22v3,t,40.7252734,-73.977397,
553622,MN,262,25,103.0,1000202.0,10002024000.0,2.02,5000.0,1.0,2.0,10002.0,E015,7.0,14.0,8000.0,1.0,3.0,1B,430 FDR DRIVE WEST LANE,PARK,,,,,,,,,,N,Q1,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,523000.0,14432.0,14432.0,0.0,0.0,0.0,0.0,0.0,0.0,14432.0,2.0,2.0,2.0,0.0,1.0,1098.0,215.0,110.0,84.0,N,0.0,Y,1.0,0.0,14850450.0,16765200.0,16765200.0,1910.0,0.0,0.0,,,0.03,0.0,0.0,0.0,1,1002620025.0,,202.0,990345.0,198443.0,12d,,101N110,10106.0,,,,1,1.0,1.0,22v3,t,40.7113548,-73.9780149,
553626,MN,262,14,103.0,1000202.0,10002024002.0,2.02,5004.0,1.0,2.0,10002.0,E015,7.0,14.0,8000.0,1.0,3.0,1B,397 FDR DRIVE,PARK,,,,,,,,,,N,Q1,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,192749.0,1830.0,1830.0,0.0,0.0,0.0,0.0,0.0,0.0,1830.0,2.0,1.0,1.0,0.0,0.0,710.0,390.0,0.0,0.0,N,0.0,Y,1.0,0.0,6075000.0,6806250.0,6806250.0,0.0,0.0,0.0,,,0.01,0.0,0.0,0.0,1,1002620014.0,,202.0,989929.0,198596.0,12d,,101N061,10106.0,,,,1,,1.0,22v3,t,40.711775,-73.9795153,
553786,MN,391,53,103.0,1002602.0,10026023000.0,26.02,2000.0,1.0,2.0,10009.0,L011,9.0,14.0,6700.0,1.0,3.0,4Q,313 EAST 8 STREET,R8B,,,,,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,1368.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,19.58,69.83,0.0,0.0,,0.0,N,5.0,5.0,391950.0,391950.0,391950.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1003910053.0,,2602.0,989874.0,203573.0,12c,,102 022,10203.0,,,,1,,1.0,22v3,t,40.7254357,-73.9797096,
553788,MN,406,37,103.0,1003400.0,10034001001.0,34.0,1001.0,1.0,2.0,10009.0,L011,9.0,14.0,6200.0,1.0,3.0,4A,200 AVENUE B,R7A,,,,C1-5,,,,,,N,Z9,,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,1100.0,200.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,18.33,60.0,18.33,20.0,N,0.0,N,5.0,0.0,41850.0,56250.0,56250.0,1900.0,0.0,0.0,,,0.18,4.0,0.0,4.0,1,1004060037.0,,34.0,990055.0,204640.0,12c,,102 029,10203.0,,,,1,,,22v3,t,40.7283643,-73.9790556,
553791,MN,397,28,103.0,1003002.0,10030021001.0,30.02,1001.0,1.0,2.0,10009.0,E028,9.0,14.0,6600.0,1.0,3.0,3Q,EAST 2 STREET,R8B,,,,,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,2048.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,19.33,105.42,0.0,0.0,,0.0,N,5.0,5.0,571500.0,571500.0,571500.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1003970028.0,,3002.0,988633.0,202349.0,12c,,102 012,10203.0,,,,1,,,22v3,t,40.7220769,-73.9841877,
553793,MN,393,20,103.0,1002800.0,10028003000.0,28.0,3000.0,1.0,2.0,10009.0,L011,9.0,14.0,6300.0,1.0,3.0,4A,EAST 11 STREET,R8B,,,,,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,2370.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,25.0,94.75,0.0,0.0,,0.0,N,5.0,5.0,661500.0,661500.0,661500.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1003930020.0,,28.0,990219.0,204072.0,12c,,102 022,10203.0,,,,1,,1.0,22v3,t,40.7268051,-73.9784644,
553795,MN,391,42,103.0,1002602.0,10026023000.0,26.02,2000.0,1.0,2.0,10009.0,L011,9.0,14.0,6700.0,1.0,3.0,4A,EAST 8 STREET,R8B,,,,,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,2325.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,24.75,93.92,0.0,0.0,,0.0,N,5.0,5.0,650700.0,650700.0,650700.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1003910042.0,,2602.0,990102.0,203461.0,12c,,102 022,10203.0,,,,1,,1.0,22v3,t,40.7251282,-73.9788871,
553796,MN,391,23,103.0,1002602.0,10026023000.0,26.02,2000.0,1.0,2.0,10009.0,L011,9.0,14.0,6700.0,1.0,3.0,4A,EAST 9 STREET,R8B,,,,,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,2583.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,27.5,93.92,0.0,0.0,,0.0,N,5.0,5.0,720450.0,720450.0,720450.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1003910023.0,,2602.0,990067.0,203591.0,12c,,102 022,10203.0,,,,1,,1.0,22v3,t,40.725485,-73.9790132,
553798,MN,391,24,103.0,1002602.0,10026023000.0,26.02,2000.0,1.0,2.0,10009.0,L011,9.0,14.0,6700.0,1.0,3.0,4A,EAST 9 STREET,R8B,,,,,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,2348.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,25.0,93.92,0.0,0.0,,0.0,N,5.0,5.0,656100.0,656100.0,656100.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1003910024.0,,2602.0,990089.0,203578.0,12c,,102 022,10203.0,,,,1,,1.0,22v3,t,40.7254493,-73.9789339,
553807,MN,386,52,103.0,1002601.0,10026012001.0,26.01,2001.0,1.0,2.0,10009.0,E028,9.0,14.0,6700.0,1.0,3.0,3A,237 EAST 3 STREET,R8B,,,,,,,,,,N,Q1,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,2403.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,25.0,96.17,0.0,0.0,,0.0,N,5.0,5.0,326700.0,326700.0,326700.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1003860052.0,,2601.0,989386.0,202423.0,12c,,102 013,10203.0,,,,1,,,22v3,t,40.7222796,-73.9814711,
